,Danger_index,Latitude,Longitude
0,1,28.5363,77.2492
1,0,28.6127,77.086
2,4,28.5299,77.2042
3,1,28.6436,77.2361
4,1,28.7026,77.1937
5,0,28.6534,77.2937
6,1,28.6664,77.2262
7,1,28.5307,77.2653
8,1,28.6091,77.0662
9,1,28.5623,77.2676
10,5,28.523,77.3062
11,0,28.7072,77.2242
12,1,28.7258,77.0036
13,0,28.66,77.1738
14,5,28.5914,77.0864
15,0,28.7179,77.1276
16,0,28.5705,77.179
17,0,28.7024,77.1159
18,4,28.6744,77.1328
19,5,28.6037,77.0156
20,0,28.7366,77.1974
21,3,28.6528,77.2336
22,1,28.7098,77.1753
23,1,28.6034,77.1961
24,2,28.6204,77.3026
25,1,28.6796,77.0888
26,0,28.4655,77.1511
27,1,28.6498,77.2175
28,1,28.6397,77.1199
29,3,28.7336,77.1749
30,5,28.643,77.2262
31,0,28.6309,77.225
32,5,28.5693,77.2049
33,1,28.7002,77.2086
34,1,28.6688,77.2922
35,5,28.5332,77.2574
36,5,28.5473,77.2564
37,1,28.6478,77.1805
38,5,28.5874,77.2405
39,1,28.6308,77.145
40,3,28.5268,77.2746
41,5,28.7252,77.1422
42,1,28.5957,76.9156
43,3,28.6266,77.1208
44,0,28.7096,77.0608
45,5,28.71,77.1019
46,0,28.5591,77.2409
47,0,28.799,77.1391
48,1,28.7258,77.1642
49,5,28.5349,77.1524
50,1,28.7429,77.1657
51,0,28.7965,77.0425
52,1,28.7245,77.0518
53,1,28.6336,77.1378
54,3,28.4989,77.2143
55,3,28.635,77.1828
56,0,28.7168,77.1571
57,3,28.6842,77.1598
58,3,28.6978,77.1193
59,3,28.6654,77.2085
60,1,28.63,77.2143
61,5,28.5924,77.2442
62,5,28.6419,77.2406
63,3,28.6966,77.0916
64,5,28.6668,77.3066
65,3,28.6556,77.2188
66,1,28.7026,77.0786
67,5,28.6554,77.2764
68,0,28.6885,77.2215
69,1,28.6924,77.1743
70,2,28.639,77.1014
71,1,28.5881,77.0829
72,4,28.6601,77.1466
73,3,28.6094,77.0995
74,3,28.6458,77.2093
75,5,28.654,77.2112
76,5,28.5745,77.1991
77,1,28.6098,76.9827
78,5,28.5296,77.0872
79,1,28.6136,77.3171
80,1,28.4938,77.3036
81,4,28.689,77.1441
82,0,28.6692,77.2077
83,3,28.6925,77.2065
84,2,28.6386,77.2032
85,1,28.5983,77.2112
86,5,28.5684,77.2405
87,3,28.667,77.2807
88,0,28.6042,77.2337
89,0,28.656,77.3131
90,3,28.7584,77.1562
91,5,28.5541,77.2328
92,5,28.63,77.0683
93,4,28.625,77.0649
94,3,28.5647,77.2334
95,2,28.5621,77.2924
96,1,28.6625,77.2315
97,1,28.5016,77.291
98,5,28.5405,77.282
99,2,28.682,77.067
100,5,28.5585,77.1986
101,1,28.6434,77.2255
102,1,28.5784,77.0667
103,0,28.6711,77.1012
104,1,28.6205,77.0674
105,3,28.6182,77.2354
106,1,28.6515,77.1196
107,5,28.5096,77.243
108,5,28.6073,77.3037
109,5,28.7477,77.0789
110,5,28.6596,77.2673
111,5,28.5641,77.0585
112,1,28.6475,77.1587
113,2,28.6538,77.036
114,5,28.5288,77.2272
115,5,28.6378,77.2703
116,1,28.6385,77.2953
117,3,28.6405,77.1351
118,1,28.5494,77.2085
119,0,28.8066,77.0228
120,5,28.7304,77.121
121,3,28.6274,77.2472
122,2,28.5759,77.2251
123,5,28.5987,77.1244
124,1,28.6526,77.1933
125,2,28.6576,77.1133
126,4,28.6436,77.2839
127,1,28.6524,77.1582
128,5,28.558,77.1693
129,3,28.6526,77.1932
130,4,28.5784,77.2602
131,3,28.8532,77.0885
132,4,28.5982,77.3118
133,1,28.6247,77.2137
134,1,28.665,77.0717
135,3,28.6254,77.3061
136,1,28.6806,77.1785
137,1,28.6254,77.3061
138,1,28.6287,76.9668
139,1,28.5869,76.9947
140,1,28.5215,77.1802
141,3,28.7004,77.146
142,2,28.6286,77.0819
143,5,28.6684,77.1837
144,5,28.67,77.1926
145,0,28.685,77.2026
146,1,28.5349,77.1523
147,3,28.7089,77.1182
148,5,28.6249,77.3327
149,5,28.6781,77.3165
150,1,28.6743,77.2686
151,3,28.6828,77.2986
152,3,28.6742,77.2852
153,5,28.7111,77.2561
154,3,28.6961,77.2917
155,1,28.706,77.3185
156,5,28.6704,76.9608
157,2,28.7013,77.2644
158,5,28.6791,77.273
159,5,28.6734,77.2748
160,2,28.6985,77.3082
161,5,28.685,77.316
162,1,28.672,77.2621
163,3,28.7113,77.2561
164,3,28.7328,77.2745
165,1,28.7022,77.2808
